ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,weekday
6572B931EBCE597B,classic_bike,"2023-12-17 17:07:00","2023-12-17 17:10:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Sunday
831D577C234B742D,classic_bike,"2023-12-31 12:14:00","2023-12-31 12:17:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Sunday
B3DE3C61FC504181,classic_bike,"2023-12-19 17:13:00","2023-12-19 17:16:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Tuesday
1DCBAF7EE8C13216,classic_bike,"2023-12-29 15:14:00","2023-12-29 15:17:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Friday
AFE6A5E5F47C1CD2,classic_bike,"2023-12-08 16:36:00","2023-12-08 16:40:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,4,Friday
099401D274C2EA3E,electric_bike,"2023-12-04 13:19:00","2023-12-04 13:27:00","LaSalle St & Jackson Blvd",TA1309000004,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,8,Monday
562FF720E319F248,electric_bike,"2023-12-28 10:33:00","2023-12-28 10:40:00","LaSalle St & Jackson Blvd",TA1309000004,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,7,Thursday
44787D7AA7DD1DE9,classic_bike,"2023-12-04 14:55:00","2023-12-04 14:58:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Monday
C568E70D41988468,classic_bike,"2023-12-22 10:35:00","2023-12-22 10:38:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Friday
88EECE19F13055DD,electric_bike,"2023-12-17 13:36:00","2023-12-17 13:39:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,3,Sunday
1EEDBE4FD42B3C06,classic_bike,"2023-12-08 10:49:00","2023-12-08 10:53:00","Wabash Ave & Roosevelt Rd",TA1305000002,"Wabash Ave & 16th St",SL-012,42,-88,42,-88,member,4,Friday
